"year","geoid","ZIP_code","title_field","value"
"2013","86000US07306","07306","Female - No schooling completed",428
"2013","86000US07306","07306","Female - Nursery to 4th grade",337
"2013","86000US07306","07306","Female - 5th and 6th grade",385
"2013","86000US07306","07306","Female - 7th and 8th grade",564
"2013","86000US07306","07306","Female - 9th grade",265
"2013","86000US07306","07306","Female - 10th grade",551
"2013","86000US07306","07306","Female - 11th grade",313
"2013","86000US07306","07306","Female - 12th grade, no diploma",303
"2013","86000US07306","07306","Female - High school graduate, GED, or alternative",4723
"2013","86000US07306","07306","Female - Some college, less than 1 year",536
"2013","86000US07306","07306","Female - Some college, 1 or more years, no degree",1739
"2013","86000US07306","07306","Female - Associate's degree",909
"2013","86000US07306","07306","Female - Bachelor's degree",4648
"2013","86000US07306","07306","Female - Master's degree",1376
"2013","86000US07306","07306","Female - Professional school degree",386
"2013","86000US07306","07306","Female - Doctorate degree",154
"2013","86000US07307","07307","Total Population",43283
"2013","86000US07307","07307","Male Population",21804
"2013","86000US07307","07307","Male Under 5 years",1487
"2013","86000US07307","07307","Male 5 to 9 years",1519
"2013","86000US07307","07307","Male 10 to 14 years",1158
"2013","86000US07307","07307","Male 15 to 17 years",809
"2013","86000US07307","07307","Male 18 and 19 years",423
"2013","86000US07307","07307","Male 20 years",255
"2013","86000US07307","07307","Male 21 years",274
"2013","86000US07307","07307","Male 22 to 24 years",1341
"2013","86000US07307","07307","Male 25 to 29 years",2313
"2013","86000US07307","07307","Male 30 to 34 years",2529
"2013","86000US07307","07307","Male 35 to 39 years",2301
"2013","86000US07307","07307","Male 40 to 44 years",1085
"2013","86000US07307","07307","Male 45 to 49 years",1247
"2013","86000US07307","07307","Male 50 to 54 years",1339
"2013","86000US07307","07307","Male 55 to 59 years",1079
"2013","86000US07307","07307","Male 60 and 61 years",414
"2013","86000US07307","07307","Male 62 to 64 years",581
"2013","86000US07307","07307","Male 65 and 66 years",382
"2013","86000US07307","07307","Male 67 to 69 years",333
"2013","86000US07307","07307","Male 70 to 74 years",448
"2013","86000US07307","07307","Male 75 to 79 years",214
"2013","86000US07307","07307","Male 80 to 84 years",196
"2013","86000US07307","07307","Male 85 years and over",77
"2013","86000US07307","07307","Female Population",21479
"2013","86000US07307","07307","Female Under 5 years",1426
"2013","86000US07307","07307","Female 5 to 9 years",1380
"2013","86000US07307","07307","Female 10 to 14 years",1192
"2013","86000US07307","07307","Female 15 to 17 years",514
"2013","86000US07307","07307","Female 18 and 19 years",625
"2013","86000US07307","07307","Female 20 years",217
"2013","86000US07307","07307","Female 21 years",180
"2013","86000US07307","07307","Female 22 to 24 years",1026
"2013","86000US07307","07307","Female 25 to 29 years",2394
"2013","86000US07307","07307","Female 30 to 34 years",2318
"2013","86000US07307","07307","Female 35 to 39 years",1465
"2013","86000US07307","07307","Female 40 to 44 years",1204
"2013","86000US07307","07307","Female 45 to 49 years",1487
"2013","86000US07307","07307","Female 50 to 54 years",1427
"2013","86000US07307","07307","Female 55 to 59 years",1256
"2013","86000US07307","07307","Female 60 and 61 years",473
"2013","86000US07307","07307","Female 62 to 64 years",756
"2013","86000US07307","07307","Female 65 and 66 years",249
"2013","86000US07307","07307","Female 67 to 69 years",386
"2013","86000US07307","07307","Female 70 to 74 years",413
"2013","86000US07307","07307","Female 75 to 79 years",501
"2013","86000US07307","07307","Female 80 to 84 years",307
"2013","86000US07307","07307","Female 85 years and over",283
"2013","86000US07307","07307","Total Population in Households",43084
"2013","86000US07307","07307","In family households",36236
"2013","86000US07307","07307","In family households - In married-couple family",22722
"2013","86000US07307","07307","In family households - In married-couple family - Relatives",22320
"2013","86000US07307","07307","In family households - In married-couple family - Nonrelatives",402
"2013","86000US07307","07307","In family households - In male householder, no wife present, family",4172
"2013","86000US07307","07307","In family households - In male householder, no wife present, family - Relatives",3823
"2013","86000US07307","07307","In family households - In male householder, no wife present, family - Nonrelatives",349
"2013","86000US07307","07307","In family households - In female householder, no husband present, family",9342
"2013","86000US07307","07307","In family households - In female householder, no husband present, family - Relatives",8967
"2013","86000US07307","07307","In family households - In female householder, no husband present, family - Nonrelatives",375
"2013","86000US07307","07307","In nonfamily households",6848
"2013","86000US07307","07307","Total Population 25 Years and over",29457
"2013","86000US07307","07307","Male Population 25 Years and over",14538
"2013","86000US07307","07307","Male - No schooling completed",319
"2013","86000US07307","07307","Male - Nursery to 4th grade",212
"2013","86000US07307","07307","Male - 5th and 6th grade",444
"2013","86000US07307","07307","Male - 7th and 8th grade",417
"2013","86000US07307","07307","Male - 9th grade",517
"2013","86000US07307","07307","Male - 10th grade",389
